age,author,brand,category,color,condition,duration,editor,id,image_height,image_url,image_width,images_count,material,price,product_description,product_height,product_length,product_name,product_size,product_width,shoe_size,store_name,sub_category_1,sub_category_2,sub_category_3,sub_category_4,vintage,warranty,weight,wifi,year,pixels
-1,-1,4,2,6,0,0.0,-1,10,2200.0,10,2200.0,3,5,10.0,10,,,9,1,,,8,2,0,-1,-1,0,-1,1100.0,-1,,4840000.0
-1,-1,5,0,-1,3,2.0,-1,11,810.0,11,1080.0,4,-1,6.0,11,,,10,3,,,9,9,-1,-1,-1,-1,-1,300.0,-1,,874800.0
-1,-1,-1,1,7,0,2.0,-1,12,4608.0,12,3072.0,3,6,18.0,12,,,11,-1,,,10,1,-1,-1,-1,-1,-1,780.0,-1,,14155776.0
-1,-1,-1,0,2,4,0.0,-1,13,1536.0,13,1536.0,3,7,9.0,13,,,-1,-1,,,2,10,-1,-1,-1,0,-1,70.0,-1,,2359296.0
-1,-1,6,0,3,2,2.0,-1,14,1536.0,14,1536.0,3,8,9.0,14,,,-1,4,,,2,11,-1,-1,-1,0,-1,180.0,-1,,2359296.0
-1,-1,7,1,-1,1,2.0,-1,15,1024.0,15,683.0,8,-1,35.0,15,,,12,-1,,,6,3,4,-1,-1,1,-1,1300.0,-1,,699392.0
-1,-1,-1,1,1,1,2.0,-1,16,1100.0,16,1100.0,1,9,20.0,16,,,13,-1,,,3,12,4,-1,-1,0,-1,1400.0,-1,,1210000.0
-1,-1,8,1,3,0,0.0,-1,17,4000.0,17,3000.0,4,10,30.0,17,,,14,-1,,,11,13,-1,-1,-1,1,-1,3300.0,-1,,12000000.0
-1,-1,9,1,0,0,0.0,-1,18,3888.0,18,2592.0,5,11,150.0,18,,,15,-1,,,12,3,-1,-1,-1,1,-1,9000.0,-1,,10077696.0
-1,-1,10,0,8,2,0.0,-1,19,1536.0,19,1536.0,6,8,12.0,19,,,-1,4,,,2,14,4,-1,-1,0,-1,750.0,-1,,2359296.0
-1,-1,-1,1,-1,1,2.0,-1,20,1024.0,20,920.0,3,-1,12.0,20,,,16,-1,,,6,15,4,-1,-1,1,-1,1000.0,-1,,942080.0
-1,-1,-1,0,9,0,0.0,-1,21,4000.0,21,3000.0,4,12,10.0,21,,,17,-1,,,0,16,-1,-1,-1,1,-1,500.0,-1,,12000000.0
-1,1,-1,6,-1,0,2.0,2,22,250.0,22,207.0,1,-1,2.0,22,,,18,-1,,,13,17,-1,-1,-1,-1,-1,512.0,-1,2001.0,51750.0
-1,2,-1,6,-1,1,2.0,3,23,250.0,23,385.0,1,-1,1.2,23,,,19,-1,,,13,18,-1,-1,-1,-1,-1,186.0,-1,2012.0,96250.0
-1,-1,11,7,0,0,0.0,-1,24,480.0,24,480.0,6,-1,20.0,24,,,20,-1,,,5,19,5,-1,-1,0,-1,4000.0,-1,,230400.0
-1,-1,12,2,7,0,1.0,-1,25,2908.0,25,2223.0,3,13,15.0,25,,,21,-1,,43.0,0,2,6,3,-1,0,-1,1.4,-1,,6464484.0
-1,-1,13,1,10,4,0.0,-1,26,2048.0,26,1536.0,3,-1,7.0,26,,,22,-1,,,14,3,-1,-1,-1,1,-1,100.0,-1,,3145728.0
-1,3,-1,6,-1,1,2.0,4,27,2074.0,27,3300.0,4,-1,4.0,27,,,23,-1,,,0,5,7,-1,-1,-1,-1,330.0,-1,1900.0,6844200.0
-1,-1,-1,0,2,0,2.0,-1,28,2057.0,28,3866.0,2,14,8.0,28,,,24,5,,,0,20,-1,-1,-1,-1,-1,400.0,-1,,7952362.0
-1,-1,-1,1,-1,0,2.0,-1,29,1000.0,29,1000.0,4,-1,10.0,29,,,25,-1,,,11,1,4,-1,-1,-1,-1,1000.0,-1,,1000000.0
-1,4,-1,6,-1,0,0.0,-1,30,2938.0,30,4407.0,3,-1,35.0,30,,,26,-1,,,15,-1,-1,-1,-1,1,-1,800.0,-1,1915.0,12947766.0
-1,-1,14,0,10,0,0.0,-1,31,2448.0,31,2448.0,5,15,4.0,31,,,27,4,,,16,9,4,-1,-1,0,-1,300.0,-1,,5992704.0
-1,-1,15,0,0,3,2.0,-1,32,1691.0,32,2669.0,1,16,9.0,32,,,28,0,,,17,9,-1,-1,-1,0,-1,162.0,-1,,4513279.0
-1,-1,-1,4,-1,1,2.0,5,33,1100.0,33,733.0,3,-1,12.0,33,,,29,-1,,,6,5,-1,-1,-1,1,-1,330.0,-1,,806300.0
-1,-1,-1,5,-1,1,0.0,-1,34,1416.0,34,1227.0,5,-1,20.0,34,,,30,-1,,,6,21,-1,-1,-1,1,-1,1000.0,-1,,1737432.0
-1,5,-1,6,-1,1,1.0,6,35,250.0,35,355.0,1,-1,3.1,35,,,31,-1,,,13,-1,-1,-1,-1,-1,-1,218.0,-1,2007.0,88750.0
-1,-1,-1,4,-1,1,1.0,-1,36,600.0,36,600.0,6,-1,20.0,36,,,32,-1,,,5,22,-1,-1,-1,0,-1,800.0,-1,,360000.0
-1,-1,-1,0,0,0,0.0,-1,37,2448.0,37,2448.0,3,17,5.0,37,,,33,6,,,18,10,-1,-1,-1,-1,-1,110.0,-1,,5992704.0
0,-1,16,5,11,0,1.0,-1,38,2448.0,38,2448.0,5,-1,5.0,38,,,34,-1,,,19,23,4,-1,-1,0,-1,100.0,-1,,5992704.0
-1,-1,17,4,6,1,0.0,-1,39,2017.0,39,2551.0,6,-1,10.0,39,,,35,-1,,,0,22,-1,-1,-1,0,-1,900.0,-1,,5145367.0
-1,-1,18,0,12,4,1.0,-1,40,2448.0,40,2448.0,6,18,4.0,40,,,36,1,,,19,24,8,-1,-1,0,-1,400.0,-1,,5992704.0
-1,-1,-1,1,0,1,1.0,-1,41,2248.0,41,2619.0,8,-1,30.0,41,,,37,-1,,,0,3,9,4,-1,1,-1,2790.0,-1,,5887512.0
-1,-1,19,0,11,3,1.0,-1,42,2071.0,42,3501.0,3,19,9.0,42,,,38,2,,,17,0,10,-1,-1,1,-1,100.0,-1,,7250571.0
-1,-1,-1,1,-1,0,1.0,-1,43,2779.0,43,2260.0,4,-1,50.0,43,,,39,-1,,,1,13,-1,-1,-1,0,-1,1350.0,-1,,6280540.0
-1,-1,20,0,11,0,1.0,-1,44,2448.0,44,2448.0,11,20,30.0,44,,,40,7,,,20,14,9,-1,-1,1,-1,1000.0,-1,,5992704.0
-1,-1,21,0,8,2,2.0,-1,45,675.0,45,900.0,3,-1,6.0,45,,,41,2,,,9,25,-1,-1,-1,-1,-1,500.0,-1,,607500.0
-1,-1,22,2,4,0,0.0,-1,46,2448.0,46,2448.0,5,21,15.0,46,,,42,-1,,40.0,20,2,11,5,0,0,-1,500.0,-1,,5992704.0
-1,-1,-1,1,-1,0,0.0,-1,47,487.0,47,1024.0,3,-1,38.0,47,,,43,-1,,,6,26,-1,-1,-1,1,-1,8000.0,-1,,498688.0
-1,-1,5,0,9,3,1.0,-1,48,675.0,48,900.0,3,-1,10.0,48,,,44,8,,,9,27,-1,-1,-1,-1,-1,1050.0,-1,,607500.0
-1,-1,23,2,3,0,0.0,-1,49,2448.0,49,2448.0,6,-1,15.0,49,,,45,-1,,,19,28,12,0,-1,1,-1,830.0,-1,,5992704.0
-1,-1,-1,6,0,0,2.0,7,50,2267.0,50,2325.0,3,-1,4.0,50,,,46,-1,,,0,29,13,6,-1,0,-1,150.0,-1,,5270775.0
-1,6,-1,6,-1,0,0.0,8,51,295.0,51,475.0,2,-1,3.0,51,,,47,-1,,,13,30,-1,-1,-1,-1,-1,455.0,-1,2016.0,140125.0
-1,-1,-1,1,-1,0,2.0,-1,52,3072.0,52,2304.0,2,-1,10.0,52,,,48,-1,,,14,31,-1,-1,-1,-1,-1,30.0,-1,,7077888.0
-1,-1,24,0,3,4,1.0,-1,53,768.0,53,2283.0,3,22,10.0,53,,,-1,7,,,17,32,4,-1,-1,0,-1,385.0,-1,,1753344.0
-1,-1,-1,1,-1,0,2.0,-1,54,1100.0,54,1100.0,4,-1,15.0,54,,,49,-1,,,3,13,-1,-1,-1,0,-1,1100.0,-1,,1210000.0
-1,-1,25,0,13,2,1.0,-1,55,1536.0,55,1536.0,4,23,15.0,55,,,-1,-1,,,2,33,4,7,-1,0,-1,150.0,-1,,2359296.0
-1,-1,-1,4,-1,1,1.0,-1,56,1024.0,56,665.0,2,-1,3.0,56,,,50,-1,,,6,34,-1,-1,-1,1,-1,20.0,-1,,680960.0
-1,-1,-1,2,-1,1,0.0,-1,57,1100.0,57,1100.0,1,-1,9.0,57,,,51,-1,,,3,28,12,-1,-1,0,-1,900.0,-1,,1210000.0
-1,-1,26,1,0,1,2.0,-1,58,4608.0,58,3072.0,11,24,33.0,58,,,52,-1,,,21,31,-1,-1,-1,1,-1,2633.0,-1,,14155776.0
-1,-1,27,2,0,0,1.0,-1,59,2448.0,59,2448.0,6,25,4.0,59,,,53,9,,,20,2,0,8,-1,0,-1,200.0,-1,,5992704.0
-1,-1,28,0,11,0,0.0,-1,60,2448.0,60,2448.0,4,26,4.0,60,,,54,7,,,20,32,-1,-1,-1,-1,-1,365.0,-1,,5992704.0
-1,7,-1,6,-1,0,2.0,9,61,616.0,61,616.0,1,-1,14.2,61,,,55,-1,,,13,-1,-1,-1,-1,-1,-1,558.0,-1,1964.0,379456.0
-1,-1,-1,1,-1,0,2.0,-1,62,2963.0,62,2963.0,3,24,10.0,62,,,56,-1,,,22,31,-1,-1,-1,1,-1,750.0,-1,,8779369.0
-1,-1,29,4,7,1,0.0,-1,63,2804.0,63,2234.0,6,-1,10.0,63,,,57,-1,,,0,22,-1,-1,-1,1,-1,1100.0,-1,,6264136.0
-1,-1,30,1,3,4,2.0,-1,64,980.0,64,980.0,6,27,25.0,64,,,58,-1,,,7,31,14,-1,-1,0,-1,740.0,-1,,960400.0
-1,-1,31,1,-1,0,2.0,-1,65,1100.0,65,1100.0,4,-1,99.0,65,,,59,-1,,,3,15,-1,-1,-1,0,-1,1000000.0,-1,,1210000.0
-1,-1,32,0,7,0,0.0,-1,66,2448.0,66,2448.0,4,18,6.0,66,,,60,-1,,,19,35,4,-1,-1,0,-1,100.0,-1,,5992704.0
-1,-1,33,0,9,0,0.0,-1,67,2448.0,67,2448.0,6,28,4.0,67,,,61,5,,,20,33,8,-1,-1,0,-1,300.0,-1,,5992704.0
-1,-1,-1,1,3,1,0.0,-1,68,3072.0,68,4608.0,4,29,12.0,68,,,62,-1,,,21,1,-1,-1,-1,1,-1,956.0,-1,,14155776.0
-1,-1,34,0,0,4,1.0,-1,69,2448.0,69,2448.0,6,30,6.0,69,,,63,5,,,20,36,15,-1,-1,0,-1,400.0,-1,,5992704.0
-1,-1,35,0,13,2,2.0,-1,70,1536.0,70,1536.0,5,31,13.0,70,,,-1,2,,,2,25,4,-1,-1,0,-1,510.0,-1,,2359296.0
-1,-1,-1,1,-1,4,0.0,-1,71,1100.0,71,1100.0,3,32,28.0,71,,,64,-1,,,3,-1,-1,-1,-1,0,-1,800.0,-1,,1210000.0
-1,-1,36,0,7,3,2.0,-1,72,675.0,72,900.0,3,-1,3.5,72,,,65,2,,,9,32,-1,-1,-1,-1,-1,500.0,-1,,607500.0
-1,-1,37,0,6,0,0.0,-1,73,4000.0,73,3000.0,5,33,30.0,73,,,66,-1,,,11,37,16,9,-1,1,-1,400.0,-1,,12000000.0
-1,-1,-1,0,7,1,2.0,-1,74,800.0,74,728.0,4,21,15.0,74,,,67,-1,,,5,36,4,-1,-1,-1,-1,400.0,-1,,582400.0
-1,-1,38,1,11,0,2.0,-1,75,2448.0,75,2448.0,6,34,12.0,75,,,68,-1,,,7,38,14,-1,-1,0,-1,993.0,-1,,5992704.0
-1,-1,39,0,6,4,1.0,-1,76,2729.0,76,2860.0,3,35,30.0,76,,,69,6,,,17,39,17,-1,-1,-1,-1,255.0,-1,,7804940.0
-1,-1,40,2,0,4,0.0,-1,77,1536.0,77,1536.0,3,31,9.0,77,,,-1,5,,,2,33,8,-1,-1,0,-1,300.0,-1,,2359296.0
-1,-1,41,4,-1,1,1.0,-1,78,1100.0,78,1100.0,1,-1,10.0,78,,,70,-1,,,3,22,-1,-1,-1,0,-1,100.0,-1,,1210000.0
-1,8,-1,6,-1,0,0.0,10,79,197.0,79,245.0,1,-1,7.5,79,,,71,-1,,,23,-1,-1,-1,-1,-1,-1,613.0,-1,2004.0,48265.0
-1,-1,-1,5,0,0,1.0,-1,80,4608.0,80,3072.0,8,-1,40.0,80,,,72,-1,,,10,40,-1,-1,-1,0,-1,950.0,-1,,14155776.0
-1,-1,42,1,14,1,0.0,-1,81,1575.0,81,1424.0,3,-1,20.0,81,,,73,-1,,,6,1,-1,-1,-1,1,-1,1700.0,-1,,2242800.0
-1,-1,43,0,-1,3,2.0,-1,82,810.0,82,1080.0,3,-1,5.0,82,,,74,6,,,9,11,-1,-1,-1,-1,-1,250.0,-1,,874800.0
-1,9,-1,6,-1,0,0.0,11,83,400.0,83,592.0,1,-1,7.0,83,,,75,-1,,,13,-1,-1,-1,-1,-1,-1,501.0,-1,2008.0,236800.0
-1,-1,44,2,6,3,2.0,-1,84,1734.0,84,3605.0,3,-1,9.0,84,,,76,10,,,17,2,0,-1,-1,0,-1,210.0,-1,,6251070.0
-1,-1,45,0,11,0,2.0,-1,85,404.0,85,1000.0,4,36,8.0,85,,,77,0,,,24,41,-1,-1,-1,0,-1,500.0,-1,,404000.0
-1,-1,-1,5,-1,1,0.0,-1,86,1000.0,86,996.0,1,-1,10.0,86,,,78,-1,,,25,7,-1,-1,-1,1,-1,1000.0,-1,,996000.0
-1,-1,-1,1,7,0,0.0,-1,87,2448.0,87,2448.0,5,37,15.0,87,,,-1,-1,,,7,13,18,-1,-1,0,-1,2230.0,-1,,5992704.0
-1,-1,-1,2,9,0,0.0,-1,88,1011.0,88,1012.0,1,38,40.0,88,,,79,-1,,,22,36,19,-1,-1,1,-1,1000.0,-1,,1023132.0
-1,-1,46,1,6,0,0.0,-1,89,1280.0,89,960.0,1,37,50.0,89,,,80,-1,,,12,3,-1,-1,-1,1,-1,2700.0,-1,,1228800.0
-1,-1,47,0,9,4,2.0,-1,90,1536.0,90,1536.0,4,39,9.0,90,,,-1,11,,,2,0,-1,-1,-1,0,-1,190.0,-1,,2359296.0
-1,-1,43,0,2,2,2.0,-1,91,675.0,91,900.0,3,-1,6.0,91,,,81,7,,,9,9,-1,-1,-1,-1,-1,300.0,-1,,607500.0
-1,-1,48,0,-1,2,2.0,-1,92,675.0,92,900.0,5,-1,12.0,92,,,82,0,,,9,25,4,-1,-1,-1,-1,500.0,-1,,607500.0
-1,-1,49,0,11,2,2.0,-1,93,675.0,93,900.0,4,-1,7.0,93,,,83,9,,,9,27,-1,-1,-1,-1,-1,600.0,-1,,607500.0
-1,-1,50,1,1,0,2.0,-1,94,3270.0,94,2792.0,2,1,4.5,94,,,84,-1,,,0,1,4,10,-1,-1,-1,80.0,-1,,9129840.0
-1,-1,23,2,3,0,0.0,-1,95,2448.0,95,2448.0,4,-1,10.0,95,,,85,-1,,,19,28,12,0,-1,0,-1,680.0,-1,,5992704.0
-1,-1,51,0,11,0,1.0,-1,96,2448.0,96,2448.0,5,40,8.0,96,,,86,12,,,19,41,-1,-1,-1,0,-1,500.0,-1,,5992704.0
-1,-1,52,4,0,0,0.0,-1,97,2000.0,97,2000.0,2,-1,80.0,97,,,87,-1,,,26,-1,-1,-1,-1,0,-1,3200.0,-1,,4000000.0
-1,-1,-1,1,0,1,2.0,-1,98,3072.0,98,4608.0,2,-1,25.0,98,,,88,-1,,,21,13,3,-1,-1,1,-1,461.0,-1,,14155776.0
-1,-1,53,2,11,3,1.0,-1,99,2264.0,99,3674.0,3,41,40.0,99,,,89,5,,,17,2,0,11,-1,0,-1,318.0,-1,,8317936.0
-1,-1,54,0,6,0,1.0,-1,100,2448.0,100,2448.0,8,15,6.0,100,,,90,5,,,18,25,4,-1,-1,0,-1,300.0,-1,,5992704.0
-1,10,-1,6,-1,0,2.0,12,101,616.0,101,616.0,1,-1,2.0,101,,,91,-1,,,13,-1,-1,-1,-1,-1,-1,236.0,-1,2003.0,379456.0
-1,11,-1,6,-1,0,2.0,-1,102,1100.0,102,1100.0,9,-1,70.0,102,,,92,-1,,,3,-1,-1,-1,-1,0,-1,3600.0,-1,1962.0,1210000.0
-1,-1,55,0,6,0,1.0,-1,103,3421.0,103,2697.0,2,42,12.0,103,,,93,13,,,0,42,-1,-1,-1,0,-1,500.0,-1,,9226437.0
-1,-1,56,0,6,1,1.0,-1,104,2448.0,104,2448.0,7,43,30.0,104,,,94,4,,,19,27,20,-1,-1,1,-1,700.0,-1,,5992704.0
-1,-1,-1,4,-1,1,0.0,-1,105,2200.0,105,2200.0,4,-1,5.0,105,,,95,-1,,,8,43,4,-1,-1,0,-1,2000.0,-1,,4840000.0
-1,-1,57,4,7,0,1.0,-1,106,1920.0,106,1080.0,3,-1,80.0,106,,,96,-1,,,27,43,-1,-1,-1,0,-1,4000.0,-1,,2073600.0
-1,-1,-1,2,-1,0,2.0,-1,107,1000.0,107,1000.0,4,-1,18.0,107,,,97,-1,,,11,44,16,-1,-1,1,-1,200.0,-1,,1000000.0
-1,12,-1,6,0,0,0.0,13,108,2433.0,108,2608.0,3,-1,20.0,108,,,98,-1,,,0,-1,-1,-1,-1,-1,-1,700.0,-1,,6345264.0
-1,-1,58,0,11,0,2.0,-1,109,1536.0,109,1536.0,4,44,12.0,109,,,99,0,,,2,41,-1,-1,-1,-1,-1,670.0,-1,,2359296.0
-1,-1,59,5,11,0,2.0,-1,110,2310.0,110,2379.0,3,-1,3.0,110,,,100,-1,,,0,45,-1,-1,-1,0,-1,250.0,-1,,5495490.0
-1,-1,60,5,0,0,1.0,-1,111,2694.0,111,3866.0,5,-1,10.0,111,,,101,-1,,,0,8,21,-1,-1,1,-1,710.0,-1,,10415004.0
-1,-1,-1,1,-1,0,0.0,-1,112,1955.0,112,2268.0,3,37,23.0,112,,,102,-1,,,1,1,-1,-1,-1,1,-1,800.0,-1,,4433940.0
-1,-1,-1,6,-1,0,2.0,-1,113,538.0,113,538.0,6,-1,200.0,113,,,103,-1,,,11,-1,-1,-1,-1,-1,-1,500.0,-1,,289444.0
-1,-1,-1,6,-1,1,2.0,-1,114,761.0,114,1024.0,5,-1,51.0,114,,,104,-1,,,6,-1,-1,-1,-1,-1,-1,1000.0,-1,,779264.0
-1,-1,31,1,6,0,2.0,-1,115,1100.0,115,1100.0,4,45,100.0,115,,,105,-1,,,3,13,4,12,-1,0,-1,7900.0,-1,,1210000.0
-1,-1,18,0,9,0,1.0,-1,116,2448.0,116,2448.0,6,46,4.0,116,,,106,2,,,18,0,4,-1,-1,0,-1,200.0,-1,,5992704.0
-1,-1,61,1,6,1,2.0,-1,117,1100.0,117,1100.0,3,-1,19.0,117,,,107,-1,,,3,3,-1,-1,-1,0,-1,507.0,-1,,1210000.0
-1,-1,62,0,7,0,0.0,-1,118,2448.0,118,2448.0,4,47,8.0,118,,,108,5,,,19,39,-1,-1,-1,0,-1,400.0,-1,,5992704.0
-1,-1,-1,5,-1,0,2.0,-1,119,2200.0,119,2200.0,6,-1,7.0,119,,,109,-1,,,8,8,-1,-1,-1,1,-1,800.0,-1,,4840000.0
-1,-1,63,0,7,4,2.0,-1,120,2620.0,120,2620.0,3,23,20.0,120,,,110,6,,,17,10,4,-1,-1,-1,-1,14.0,-1,,6864400.0
-1,-1,-1,4,-1,1,2.0,-1,121,1024.0,121,665.0,2,-1,6.0,121,,,111,-1,,,6,34,-1,-1,-1,1,-1,20.0,-1,,680960.0
-1,-1,64,0,-1,3,2.0,-1,122,810.0,122,1080.0,3,-1,13.0,122,,,112,2,,,9,9,-1,-1,-1,-1,-1,300.0,-1,,874800.0
-1,-1,-1,1,3,0,2.0,-1,123,4272.0,123,2848.0,3,-1,15.0,123,,,-1,-1,,,28,-1,-1,-1,-1,1,-1,700.0,-1,,12166656.0
-1,-1,-1,1,14,1,1.0,-1,124,480.0,124,480.0,9,-1,10.0,124,,,113,-1,,,5,13,18,-1,-1,0,-1,300.0,-1,,230400.0
-1,-1,-1,1,13,0,0.0,-1,125,1536.0,125,2048.0,7,48,37.0,125,,,114,-1,,,21,13,14,-1,-1,0,-1,503.0,-1,,3145728.0
-1,-1,-1,3,-1,3,0.0,-1,126,1324.0,126,1500.0,2,-1,74.0,126,,,115,-1,,,4,4,-1,-1,-1,-1,0,290.0,-1,,1986000.0
-1,-1,-1,4,7,1,0.0,-1,127,3286.0,127,2386.0,5,-1,10.0,127,,,116,-1,,,0,22,-1,-1,-1,1,-1,900.0,-1,,7840396.0
-1,-1,65,0,0,1,1.0,-1,128,759.0,128,1000.0,4,39,5.0,128,,,117,1,,,24,27,-1,-1,-1,0,-1,1000.0,-1,,759000.0
-1,-1,66,1,-1,0,0.0,-1,129,,129,,0,49,8.0,129,,,118,-1,,,15,1,-1,-1,-1,1,-1,300.0,-1,,
-1,-1,67,0,6,3,1.0,-1,130,2684.0,130,3829.0,2,50,10.0,130,,,119,3,,,17,0,4,13,-1,0,-1,240.0,-1,,10277036.0
-1,13,-1,6,-1,0,1.0,14,131,616.0,131,616.0,1,-1,4.0,131,,,120,-1,,,13,18,-1,-1,-1,-1,-1,212.0,-1,2013.0,379456.0
-1,14,-1,6,-1,1,2.0,15,132,616.0,132,616.0,2,-1,5.8,132,,,121,-1,,,13,-1,-1,-1,-1,-1,-1,130.0,-1,2003.0,379456.0
-1,-1,-1,1,3,4,0.0,-1,133,800.0,133,800.0,3,32,20.0,133,,,122,-1,,,2,-1,-1,-1,-1,1,-1,350.0,-1,,640000.0
-1,-1,68,0,11,2,2.0,-1,134,810.0,134,1080.0,5,-1,20.0,134,,,123,2,,,9,25,-1,-1,-1,-1,-1,500.0,-1,,874800.0
-1,-1,69,0,9,3,0.0,-1,135,675.0,135,900.0,4,-1,8.9,135,,,124,7,,,9,11,-1,-1,-1,-1,-1,250.0,-1,,607500.0
-1,15,-1,6,-1,1,1.0,16,136,616.0,136,616.0,1,-1,5.0,136,,,125,-1,,,13,-1,-1,-1,-1,-1,-1,442.0,-1,2000.0,379456.0
-1,-1,-1,4,-1,0,1.0,-1,137,1100.0,137,1100.0,1,-1,14.0,137,,,126,-1,,,3,-1,-1,-1,-1,1,-1,200.0,-1,,1210000.0
-1,-1,70,5,13,4,1.0,-1,138,3648.0,138,2496.0,6,-1,9.0,138,,,-1,-1,,,28,45,-1,-1,-1,0,-1,100.0,-1,,9105408.0
-1,-1,71,0,12,1,1.0,-1,139,1080.0,139,608.0,7,13,25.0,139,,,127,5,,,19,27,20,-1,-1,1,-1,750.0,-1,,656640.0
-1,-1,-1,1,-1,0,1.0,-1,140,1536.0,140,2048.0,6,-1,90.0,140,,,128,-1,,,15,13,-1,-1,-1,1,-1,2000.0,-1,,3145728.0
-1,-1,-1,4,-1,0,1.0,-1,141,1100.0,141,1100.0,2,-1,12.0,141,,,129,-1,,,3,-1,-1,-1,-1,0,-1,550.0,-1,,1210000.0
-1,-1,-1,5,-1,0,1.0,-1,142,3508.0,142,3508.0,4,51,60.0,142,90.0,75.0,130,-1,45.0,,29,46,2,14,-1,1,-1,7000.0,-1,,12306064.0
-1,-1,72,0,0,4,1.0,-1,143,1536.0,143,1536.0,3,52,8.0,143,,,-1,9,,,2,11,-1,-1,-1,0,-1,170.0,-1,,2359296.0
-1,-1,14,0,6,4,1.0,-1,144,2448.0,144,2448.0,8,53,8.0,144,,,131,10,,,16,25,4,-1,-1,0,-1,600.0,-1,,5992704.0
-1,-1,73,0,2,4,1.0,-1,145,1536.0,145,1536.0,3,54,12.0,145,,,-1,2,,,2,25,-1,-1,-1,0,-1,550.0,-1,,2359296.0
-1,-1,-1,4,-1,0,1.0,-1,146,1100.0,146,1100.0,3,-1,9.0,146,,,132,-1,,,3,47,-1,-1,-1,0,-1,400.0,-1,,1210000.0
-1,16,31,6,4,1,1.0,17,147,1100.0,147,1100.0,3,-1,18.0,147,,,133,-1,,,3,-1,-1,-1,-1,0,-1,861.0,-1,1922.0,1210000.0
-1,-1,74,4,6,1,1.0,-1,148,800.0,148,640.0,8,-1,100.0,148,,,134,-1,,,5,22,-1,-1,-1,0,-1,1000.0,-1,,512000.0
-1,17,-1,6,-1,0,2.0,18,149,616.0,149,616.0,2,-1,3.6,149,,,135,-1,,,13,-1,-1,-1,-1,-1,-1,270.0,-1,2011.0,379456.0
-1,-1,21,0,-1,3,2.0,-1,150,810.0,150,1080.0,4,-1,5.0,150,,,136,3,,,9,39,-1,-1,-1,-1,-1,300.0,-1,,874800.0
-1,-1,75,0,12,0,1.0,-1,151,2448.0,151,2448.0,7,55,4.0,151,,,137,2,,,20,0,4,-1,-1,0,-1,100.0,-1,,5992704.0
-1,-1,76,0,11,2,0.0,-1,152,2448.0,152,2448.0,6,31,6.0,152,,,138,4,,,19,25,-1,-1,-1,0,-1,500.0,-1,,5992704.0
-1,-1,77,5,10,1,2.0,-1,153,2988.0,153,2988.0,4,-1,20.0,153,,,139,-1,,,30,48,-1,-1,-1,-1,-1,1075.0,-1,,8928144.0
-1,-1,-1,1,-1,1,0.0,-1,154,1966.0,154,1966.0,4,56,19.5,154,,,140,-1,,,31,13,-1,-1,-1,1,-1,3000.0,-1,,3865156.0
-1,-1,69,0,7,2,2.0,-1,155,810.0,155,1080.0,5,-1,7.0,155,,,141,3,,,9,32,-1,-1,-1,-1,-1,500.0,-1,,874800.0
-1,-1,-1,1,-1,0,0.0,-1,156,3072.0,156,2304.0,5,-1,20.0,156,50.0,55.0,142,-1,35.0,,14,49,-1,-1,-1,-1,-1,20000.0,-1,,7077888.0
-1,-1,78,4,-1,1,1.0,-1,157,2048.0,157,1536.0,4,-1,15.0,157,,,143,-1,,,21,22,-1,-1,-1,1,-1,795.0,-1,,3145728.0
